,GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,geometry
0,Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",
18,1500000US360470007002,360470007002,"Block Group 2, Census Tract 7, Kings County, New York",555,62,24,12,11,11,52,16,55,19,50,66,64,21,20,32,40,"POLYGON ((-73.997609 40.693601, -73.99671599999999 40.693439, -73.99508 40.693147, -73.995914 40.691416, -73.998339 40.692087, -73.997609 40.693601))"
19,1500000US360470007003,360470007003,"Block Group 3, Census Tract 7, Kings County, New York",516,10,0,25,40,8,30,5,17,9,22,52,75,47,16,40,120,"POLYGON ((-73.995914 40.691416, -73.99508 40.693147, -73.99310299999999 40.692846, -73.993736 40.69153499999999, -73.994361 40.690239, -73.996233 40.690758, -73.995914 40.691416))"
20,1500000US360470009001,360470009001,"Block Group 1, Census Tract 9, Kings County, New York",682,76,29,19,33,7,6,20,22,33,21,62,125,44,50,52,83,"POLYGON ((-73.99310299999999 40.692846, -73.992424 40.694276, -73.99210000000001 40.694947, -73.990663 40.694561, -73.990447 40.693735, -73.990972 40.692549, -73.98893199999999 40.692086, -73.989261 40.690977, -73.989662 40.690334, -73.993736 40.69153499999999, -73.99310299999999 40.692846))"
21,1500000US360470009002,360470009002,"Block Group 2, Census Tract 9, Kings County, New York",366,40,9,0,10,7,7,0,23,19,45,25,35,29,59,19,39,"POLYGON ((-73.993736 40.69153499999999, -73.989662 40.690334, -73.99009599999999 40.689706, -73.990686 40.689142, -73.99236399999999 40.68969, -73.994361 40.690239, -73.993736 40.69153499999999))"
22,1500000US360470011001,360470011001,"Block Group 1, Census Tract 11, Kings County, New York",75,0,0,0,0,42,25,0,0,0,0,0,8,0,0,0,0,"POLYGON ((-73.990447 40.693735, -73.990663 40.694561, -73.990746 40.695034, -73.99009199999999 40.695074, -73.987162 40.694961, -73.98514299999999 40.694885, -73.98536299999999 40.690667, -73.987348 40.691458, -73.98893199999999 40.692086, -73.990972 40.692549, -73.990447 40.693735))"
23,1500000US360470013001,360470013001,"Block Group 1, Census Tract 13, Kings County, New York",1147,34,45,30,18,50,69,68,62,53,159,159,145,127,60,34,34,"POLYGON ((-73.991407 40.69777699999999, -73.99130599999999 40.699195, -73.99103099999999 40.699845, -73.99093499999999 40.700767, -73.98972999999999 40.700734, -73.98868399999999 40.700699, -73.98789599999999 40.698758, -73.98693999999999 40.698781, -73.986969 40.698504, -73.985587 40.698446, -73.98496 40.698445, -73.98472599999999 40.696129, -73.98514299999999 40.694885, -73.987162 40.694961, -73.99009199999999 40.695074, -73.990746 40.695034, -73.991298 40.696579, -73.991365 40.69701, -73.991407 40.69777699999999))"
24,1500000US360470013002,360470013002,"Block Group 2, Census Tract 13, Kings County, New York",34,16,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,"POLYGON ((-73.98868399999999 40.700699, -73.98679799999999 40.700617, -73.986813 40.699956, -73.98693999999999 40.698781, -73.98789599999999 40.698758, -73.98868399999999 40.700699))"
25,1500000US360470018001,360470018001,"Block Group 1, Census Tract 18, Kings County, New York",4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,"POLYGON ((-74.03049799999999 40.6453, -74.028255 40.644053, -74.02606 40.646261, -74.02929399999999 40.64874, -74.025468 40.646833, -74.02406499999999 40.647598, -74.025637 40.649753, -74.024406 40.650922, -74.020944 40.651274, -74.022227 40.652042, -74.020877 40.654433, -74.019289 40.654086, -74.01993899999999 40.65527, -74.01788599999999 40.654054, -74.016401 40.655595, -74.019165 40.657361, -74.01586499999999 40.656219, -74.01759799999999 40.658242, -74.01451899999999 40.657514, -74.01743999999999 40.659431, -74.016673 40.65998, -74.015591 40.660736, -74.01194199999999 40.658966, -74.011129 40.659675, -74.01406999999999 40.661479, -74.01284699999999 40.662022, -74.00876199999999 40.659629, -74.00748899999999 40.660553, -74.010408 40.66251, -74.00881 40.663347, -74.00613199999999 40.661863, -74.00592899999999 40.663149, -74.003546 40.662192, -74.00777699999999 40.664716, -74.003626 40.662736, -74.004847 40.665068, -74.00111699999999 40.662907, -74.000046 40.663819, -73.99952499999999 40.664399, -74.00292399999999 40.666403, -73.999893 40.667597, -73.999072 40.668446, -73.998457 40.671568, -73.997624 40.670274, -73.996426 40.669006, -73.996033 40.66806, -73.994845 40.666805, -73.995795 40.665516, -73.996393 40.664954, -73.99695799999999 40.664393, -73.997534 40.663834, -73.99987 40.661589, -74.00045399999999 40.661032, -74.002161 40.659356, -74.003288 40.658185, -74.004465 40.657072, -74.006231 40.6554, -74.00878999999999 40.656963, -74.010493 40.655276, -74.01110299999999 40.654695, -74.011684 40.654135, -74.01389499999999 40.655466, -74.01504799999999 40.654362, -74.012844 40.653016, -74.01518399999999 40.650773, -74.01634299999999 40.649656, -74.01750899999999 40.648533, -74.019256 40.646853, -74.02145999999999 40.648182, -74.02383499999999 40.645919, -74.021598 40.64459799999999, -74.022769 40.643469, -74.023956 40.642327, -74.025724 40.640631, -74.026257 40.640132, -74.029079 40.641274, -74.02906 40.641727, -74.03264399999999 40.6438, -74.03049799999999 40.6453))"
26,1500000US360470020001,360470020001,"Block Group 1, Census Tract 20, Kings County, New York",116,20,5,22,11,0,17,3,0,4,5,9,14,0,0,6,0,"POLYGON ((-74.01634299999999 40.649656, -74.01518399999999 40.650773, -74.01262899999999 40.649235, -74.013172 40.648652, -74.013733 40.648079, -74.014377 40.647554, -74.014932 40.646982, -74.01750899999999 40.648533, -74.01634299999999 40.649656))"
27,1500000US360470020002,360470020002,"Block Group 2, Census Tract 20, Kings County, New York",140,22,39,20,6,26,3,0,0,0,8,11,5,0,0,0,0,"POLYGON ((-74.01750899999999 40.648533, -74.014932 40.646982, -74.01553299999999 40.646418, -74.016086 40.645882, -74.016651 40.645331, -74.019256 40.646853, -74.01750899999999 40.648533))"
28,1500000US360470020003,360470020003,"Block Group 3, Census Tract 20, Kings County, New York",179,34,0,10,14,19,17,14,26,7,16,8,10,0,4,0,0,
29,1500000US360470021001,360470021001,"Block Group 1, Census Tract 21, Kings County, New York",132,23,14,0,5,0,12,0,0,13,11,7,21,6,8,0,12,"POLYGON ((-73.99449799999999 40.704318, -73.99369299999999 40.704476, -73.992722 40.705544, -73.98938099999999 40.705137, -73.98908399999999 40.704601, -73.98972999999999 40.700734, -73.99093499999999 40.700767, -73.99261199999999 40.702061, -73.993267 40.702435, -73.995069 40.703102, -73.99449799999999 40.704318))"
30,1500000US360470021002,360470021002,"Block Group 2, Census Tract 21, Kings County, New York",102,20,0,0,8,0,0,0,0,12,10,27,7,18,0,0,0,"POLYGON ((-73.98908399999999 40.704601, -73.98938099999999 40.705137, -73.98727099999999 40.705181, -73.98653 40.704979, -73.98660099999999 40.700621, -73.98679799999999 40.700617, -73.98868399999999 40.700699, -73.98972999999999 40.700734, -73.98908399999999 40.704601))"
31,1500000US360470021003,360470021003,"Block Group 3, Census Tract 21, Kings County, New York",101,0,0,0,21,0,14,11,0,0,0,8,11,22,8,0,6,"POLYGON ((-73.98653 40.704979, -73.984189 40.705582, -73.98308 40.705519, -73.97923299999999 40.705769, -73.97917099999999 40.705301, -73.980729 40.701268, -73.98285 40.701359, -73.98476099999999 40.701439, -73.98660099999999 40.700621, -73.98653 40.704979))"
32,1500000US360470021004,360470021004,"Block Group 4, Census Tract 21, Kings County, New York",165,6,0,9,0,22,0,0,0,0,0,0,0,15,28,17,68,
33,1500000US360470022001,360470022001,"Block Group 1, Census Tract 22, Kings County, New York",293,60,28,20,13,35,24,27,0,4,11,30,36,5,0,0,0,"POLYGON ((-74.02383499999999 40.645919, -74.02145999999999 40.648182, -74.019256 40.646853, -74.016651 40.645331, -74.017877 40.644201, -74.017926 40.644233, -74.02041799999999 40.645733, -74.021598 40.64459799999999, -74.02383499999999 40.645919))"
34,1500000US360470022002,360470022002,"Block Group 2, Census Tract 22, Kings County, New York",413,74,147,18,19,17,11,17,6,34,32,17,10,11,0,0,0,"POLYGON ((-74.021598 40.64459799999999, -74.02041799999999 40.645733, -74.017926 40.644233, -74.01901099999999 40.643165, -74.020212 40.641981, -74.022769 40.643469, -74.021598 40.64459799999999))"
35,1500000US360470022003,360470022003,"Block Group 3, Census Tract 22, Kings County, New York",761,73,82,56,66,49,77,36,34,48,64,60,33,29,20,17,17,"POLYGON ((-74.026257 40.640132, -74.025724 40.640631, -74.023956 40.642327, -74.022769 40.643469, -74.020212 40.641981, -74.02085699999999 40.641435, -74.020966 40.641651, -74.021165 40.641417, -74.023105 40.639996, -74.023545 40.639314, -74.024754 40.638121, -74.026861 40.639536, -74.026257 40.640132))"
36,1500000US360470023001,360470023001,"Block Group 1, Census Tract 23, Kings County, New York",1513,764,134,174,69,121,70,62,42,13,9,18,31,0,0,6,0,"POLYGON ((-73.98679799999999 40.700617, -73.98660099999999 40.700621, -73.98476099999999 40.701439, -73.98285 40.701359, -73.98293199999999 40.699772, -73.98640899999999 40.699928, -73.986813 40.699956, -73.98679799999999 40.700617))"
37,1500000US360470025001,360470025001,"Block Group 1, Census Tract 25, Kings County, New York",629,274,86,54,43,22,13,36,22,24,11,36,0,8,0,0,0,
38,1500000US360470025002,360470025002,"Block Group 2, Census Tract 25, Kings County, New York",134,0,0,25,0,22,0,23,0,23,0,0,21,20,0,0,0,
39,1500000US360470027001,360470027001,"Block Group 1, Census Tract 27, Kings County, New York",59,35,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,
40,1500000US360470027002,360470027002,"Block Group 2, Census Tract 27, Kings County, New York",97,0,26,8,0,0,12,0,0,14,9,0,0,9,0,19,0,
41,1500000US360470029011,360470029011,"Block Group 1, Census Tract 29.01, Kings County, New York",1051,471,169,86,44,69,27,11,63,51,14,19,18,9,0,0,0,"POLYGON ((-73.98038799999999 40.696507, -73.978381 40.696492, -73.97833 40.696161, -73.97782699999999 40.693438, -73.979168 40.693489, -73.98013899999999 40.694683, -73.980356 40.696178, -73.98038799999999 40.696507))"
42,1500000US360470029012,360470029012,"Block Group 2, Census Tract 29.01, Kings County, New York",246,102,33,34,10,11,23,10,10,0,0,0,13,0,0,0,0,"POLYGON ((-73.978381 40.696492, -73.97739 40.696419, -73.976443 40.696371, -73.97618799999999 40.695098, -73.975987 40.694089, -73.975848 40.693361, -73.97782699999999 40.693438, -73.97833 40.696161, -73.978381 40.696492))"
43,1500000US360470029021,360470029021,"Block Group 1, Census Tract 29.02, Kings County, New York",241,52,18,8,33,11,14,21,7,0,9,9,49,10,0,0,0,
44,1500000US360470030001,360470030001,"Block Group 1, Census Tract 30, Kings County, New York",356,41,22,8,20,6,8,27,17,0,25,64,35,31,0,35,17,"POLYGON ((-74.030322 40.639647, -74.029095 40.640811, -74.029079 40.641274, -74.026257 40.640132, -74.026861 40.639536, -74.027624 40.638805, -74.028004 40.638145, -74.03060599999999 40.638963, -74.030322 40.639647))"
45,1500000US360470030002,360470030002,"Block Group 2, Census Tract 30, Kings County, New York",419,65,0,20,31,24,12,32,16,12,37,54,42,16,31,13,14,"POLYGON ((-74.030891 40.638279, -74.03060599999999 40.638963, -74.028004 40.638145, -74.028279 40.637468, -74.02865799999999 40.636546, -74.031268 40.637357, -74.030891 40.638279))"
46,1500000US360470031001,360470031001,"Block Group 1, Census Tract 31, Kings County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"POLYGON ((-73.982512 40.693614, -73.979168 40.693489, -73.97782699999999 40.693438, -73.97754499999999 40.691896, -73.97894699999999 40.691921, -73.981791 40.692025, -73.98254 40.693002, -73.982512 40.693614))"
47,1500000US360470031002,360470031002,"Block Group 2, Census Tract 31, Kings County, New York",83,62,0,0,0,12,0,0,0,0,9,0,0,0,0,0,0,"POLYGON ((-73.981791 40.692025, -73.97894699999999 40.691921, -73.978624 40.689831, -73.98136 40.68992799999999, -73.982079 40.691292, -73.981791 40.692025))"
48,1500000US360470031003,360470031003,"Block Group 3, Census Tract 31, Kings County, New York",826,43,64,54,53,46,21,80,86,36,88,150,39,31,7,10,18,"POLYGON ((-73.97894699999999 40.691921, -73.97754499999999 40.691896, -73.97782699999999 40.693438, -73.975848 40.693361, -73.973855 40.693287, -73.97354 40.691707, -73.97312599999999 40.689622, -73.974109 40.689663, -73.975106 40.689698, -73.977098 40.689773, -73.978624 40.689831, -73.97894699999999 40.691921))"
49,1500000US360470032001,360470032001,"Block Group 1, Census Tract 32, Kings County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,1500000US360470033001,360470033001,"Block Group 1, Census Tract 33, Kings County, New York",396,55,14,0,7,22,14,23,11,39,32,44,51,42,29,0,13,"POLYGON ((-73.977098 40.689773, -73.975106 40.689698, -73.974616 40.687191, -73.97559 40.687086, -73.976545 40.686994, -73.977098 40.689773))"
51,1500000US360470033002,360470033002,"Block Group 2, Census Tract 33, Kings County, New York",676,144,0,0,50,81,34,65,12,45,37,81,18,48,0,44,17,"POLYGON ((-73.98136 40.68992799999999, -73.978624 40.689831, -73.977098 40.689773, -73.976545 40.686994, -73.97936299999999 40.686682, -73.980559 40.688351, -73.98087 40.688866, -73.98350599999999 40.689921, -73.98136 40.68992799999999))"
52,1500000US360470034001,360470034001,"Block Group 1, Census Tract 34, Kings County, New York",396,13,23,41,19,8,40,0,15,37,61,54,38,37,10,0,0,"POLYGON ((-74.038336 40.637074, -74.0374076923077 40.6384664615385, -74.03585910791371 40.6407893381295, -74.03351683155289 40.6443027526705, -74.03264399999999 40.6438, -74.02906 40.641727, -74.029079 40.641274, -74.029095 40.640811, -74.030322 40.639647, -74.03060599999999 40.638963, -74.030891 40.638279, -74.031268 40.637357, -74.03595799999999 40.638821, -74.03607099999999 40.637306, -74.037245 40.635985, -74.03870402208149 40.6359700240455, -74.038336 40.637074))"
53,1500000US360470034002,360470034002,"Block Group 2, Census Tract 34, Kings County, New York",518,53,25,28,7,56,0,20,31,17,46,64,93,40,8,17,13,"POLYGON ((-74.03595799999999 40.638821, -74.031268 40.637357, -74.031826 40.635993, -74.03607099999999 40.637306, -74.03595799999999 40.638821))"
54,1500000US360470034003,360470034003,"Block Group 3, Census Tract 34, Kings County, New York",431,44,26,13,27,15,24,25,13,10,53,37,66,12,44,13,9,"POLYGON ((-74.03607099999999 40.637306, -74.031826 40.635993, -74.032037 40.635475, -74.03231699999999 40.634791, -74.037245 40.635985, -74.03607099999999 40.637306))"
55,1500000US360470035001,360470035001,"Block Group 1, Census Tract 35, Kings County, New York",527,64,44,19,32,54,42,31,17,19,18,69,49,10,18,0,41,"POLYGON ((-73.97936299999999 40.686682, -73.976545 40.686994, -73.97559 40.687086, -73.97495499999999 40.683984, -73.973922 40.683756, -73.97377999999999 40.683061, -73.97592899999999 40.683505, -73.977457 40.684052, -73.978026 40.684864, -73.97936299999999 40.686682))"
56,1500000US360470035002,360470035002,"Block Group 2, Census Tract 35, Kings County, New York",140,14,0,0,4,0,0,15,0,21,7,19,18,13,16,13,0,"POLYGON ((-73.97559 40.687086, -73.974616 40.687191, -73.97428099999999 40.685513, -73.973922 40.683756, -73.97495499999999 40.683984, -73.97559 40.687086))"
57,1500000US360470036001,360470036001,"Block Group 1, Census Tract 36, Kings County, New York",436,37,32,35,21,33,36,18,10,6,44,60,67,24,13,0,0,"POLYGON ((-74.031826 40.635993, -74.031268 40.637357, -74.02865799999999 40.636546, -74.029134 40.635373, -74.02935699999999 40.634837, -74.032037 40.635475, -74.031826 40.635993))"
58,1500000US360470036002,360470036002,"Block Group 2, Census Tract 36, Kings County, New York",985,167,74,57,81,40,60,37,27,42,86,108,100,35,6,26,39,"POLYGON ((-74.03231699999999 40.634791, -74.032037 40.635475, -74.02935699999999 40.634837, -74.02963299999999 40.634153, -74.02991299999999 40.633474, -74.03259299999999 40.63411, -74.03231699999999 40.634791))"
59,1500000US360470036003,360470036003,"Block Group 3, Census Tract 36, Kings County, New York",438,17,17,12,32,7,22,42,32,16,42,53,71,42,7,11,15,"POLYGON ((-74.03259299999999 40.63411, -74.02991299999999 40.633474, -74.030473 40.632099, -74.03315499999999 40.632735, -74.03259299999999 40.63411))"
60,1500000US360470037001,360470037001,"Block Group 1, Census Tract 37, Kings County, New York",129,0,0,25,0,0,20,12,0,0,57,8,0,0,7,0,0,"POLYGON ((-73.989261 40.690977, -73.98893199999999 40.692086, -73.987348 40.691458, -73.98536299999999 40.690667, -73.98350599999999 40.689921, -73.98087 40.688866, -73.980559 40.688351, -73.97936299999999 40.686682, -73.98181699999999 40.68733, -73.986155 40.689018, -73.989662 40.690334, -73.989261 40.690977))"
61,1500000US360470037002,360470037002,"Block Group 2, Census Tract 37, Kings County, New York",79,23,0,17,0,11,0,0,15,0,13,0,0,0,0,0,0,
62,1500000US360470038001,360470038001,"Block Group 1, Census Tract 38, Kings County, New York",703,38,29,27,24,8,17,41,11,40,77,71,94,39,103,22,62,"POLYGON ((-74.0387807086057 40.6357399832871, -74.03870402208149 40.6359700240455, -74.037245 40.635985, -74.03231699999999 40.634791, -74.03259299999999 40.63411, -74.03315499999999 40.632735, -74.03692599999999 40.633639, -74.0393851747986 40.63392673300719, -74.0387807086057 40.6357399832871))"
63,1500000US360470039001,360470039001,"Block Group 1, Census Tract 39, Kings County, New York",158,13,6,0,0,12,13,11,5,9,31,8,8,19,15,0,8,"POLYGON ((-73.98181699999999 40.68733, -73.97936299999999 40.686682, -73.978026 40.684864, -73.978337 40.68439499999999, -73.98070199999999 40.685324, -73.98266099999999 40.686086, -73.98181699999999 40.68733))"
64,1500000US360470039002,360470039002,"Block Group 2, Census Tract 39, Kings County, New York",148,8,0,0,17,0,14,0,0,9,49,22,0,14,15,0,0,"POLYGON ((-73.98266099999999 40.686086, -73.98070199999999 40.685324, -73.981993 40.683418, -73.983953 40.684182, -73.98266099999999 40.686086))"
65,1500000US360470039003,360470039003,"Block Group 3, Census Tract 39, Kings County, New York",353,149,11,37,15,20,0,18,7,0,25,5,24,17,10,9,6,"POLYGON ((-73.98070199999999 40.685324, -73.978337 40.68439499999999, -73.97960499999999 40.682489, -73.981993 40.683418, -73.98070199999999 40.685324))"
66,1500000US360470039004,360470039004,"Block Group 4, Census Tract 39, Kings County, New York",310,39,23,0,17,37,14,31,17,20,12,36,25,19,9,0,11,
67,1500000US360470040001,360470040001,"Block Group 1, Census Tract 40, Kings County, New York",504,19,20,0,21,13,8,0,24,7,31,43,77,82,38,59,62,
68,1500000US360470041001,360470041001,"Block Group 1, Census Tract 41, Kings County, New York",462,42,29,10,0,21,42,7,46,23,58,49,40,51,8,13,23,"POLYGON ((-73.986155 40.689018, -73.98181699999999 40.68733, -73.98266099999999 40.686086, -73.98482899999999 40.68693, -73.98700000000001 40.687773, -73.986155 40.689018))"
69,1500000US360470041002,360470041002,"Block Group 2, Census Tract 41, Kings County, New York",323,8,26,0,16,0,0,0,0,10,11,32,57,25,7,85,46,"POLYGON ((-73.98700000000001 40.687773, -73.98482899999999 40.68693, -73.986119 40.685024, -73.98828899999999 40.685869, -73.98700000000001 40.687773))"
70,1500000US360470041003,360470041003,"Block Group 3, Census Tract 41, Kings County, New York",365,13,0,17,13,20,9,15,7,29,48,38,53,28,44,8,23,"POLYGON ((-73.98482899999999 40.68693, -73.98266099999999 40.686086, -73.983953 40.684182, -73.986119 40.685024, -73.98482899999999 40.68693))"
71,1500000US360470041004,360470041004,"Block Group 4, Census Tract 41, Kings County, New York",270,19,0,0,16,0,19,20,32,18,44,38,30,9,16,0,9,
